Version;Implicit;DataOwnerCode;ConcessionAreaCode;Description
1;true;CXX;AML_2018;Amstelland-Meerlanden 2018
1;true;CXX;AR-AHK-RIV;Arriva Achterhoek en Rivierenland
1;true;CXX;ARR;Gereden voor Arriva
1;true;CXX;FL-YS-2014;Flevoland-IJsselmond 2014
1;true;CXX;GOOI_2011;Gooi en Vechtstreek 2011
1;true;CXX;HLM-IJM_17;Haarlem IJmond 2017
1;true;CXX;HWGO_2016;Hoeksche Waard Goeree-Overflakkee
1;true;CXX;LYN;Gereden voor De Lijn
1;true;CXX;NB-OOST;Noord Brabant - Oost
1;true;CXX;NHN_2018;Noord-Holland Noord 2018
1;true;CXX;NIAG-DU;NIAG in Duitsland
1;true;CXX;NIAG;NIAG in NL
1;true;CXX;OV-YS-2014;Overijssel-IJsselmond 2014
1;true;CXX;PARKSHUT;Parkshuttle Rivium
1;true;CXX;SAN-2012;Stadsregio Arnhem Nijmegen
1;true;CXX;SYN-VEL;Syntus Veluwe
1;true;CXX;ZAAN_2010;Zaanstreek 2010
1;true;CXX;ZLD-2014;Provincie Zeeland 2015 - 2024
1;true;CXX;ZOB;Zuid Oost Brabant
